CCAA;AÑO;SECTOR ;SEXO;Tasa de paro;%_inactivos;TASA_DE_ACTIVIDAD;%_ocup;%act_educ
            04 Balears, Illes;2021;Educación;Hombres;0.00;0.2;69.93;1.3;7.8
            05 Canarias;2021;Educación;Hombres;2.91;1.6;60.60;2.4;7.0
            06 Cantabria;2021;Educación;Hombres;5.96;1.3;65.17;3.3;11.3
            07 Castilla y León;2021;Educación;Hombres;1.19;1.2;69.59;2.0;12.2
            08 Castilla - La Mancha;2021;Educación;Hombres;7.23;1.6;56.72;2.4;12.3
            09 Cataluña;2021;Educación;Hombres;5.06;0.6;74.37;1.5;10.6
            10 Comunitat Valenciana;2021;Educación;Hombres;12.91;1.5;68.97;1.9;10.6
            11 Extremadura;2021;Educación;Hombres;8.85;2.1;48.05;2.4;12.7
            12 Galicia;2021;Educación;Hombres;5.10;1.2;64.35;2.2;10.9
            13 Madrid, Comunidad de;2021;Educación;Hombres;0.00;1.3;74.23;1.2;9.2
            14 Murcia, Región de;2021;Educación;Hombres;2.30;2.0;77.17;1.5;16.1
            15 Navarra, Comunidad Foral de;2021;Educación;Hombres;14.44;1.2;69.15;2.7;13.7
            16 País Vasco;2021;Educación;Hombres;9.10;1.3;71.74;1.8;10.6
            17 Rioja, La;2021;Educación;Hombres;15.88;0.9;59.69;3.1;12.9
            18 Ceuta;2021;Educación;Hombres;..;0.0;0.00;8.8;23.0
            19 Melilla;2021;Educación;Hombres;18.55;0.0;83.27;0.8;13.9
            01 Andalucía;2021;Artes, humanidades y lenguas;Hombres;19.05;2.0;71.70;2.5;5.1
            02 Aragón;2021;Artes, humanidades y lenguas;Hombres;12.15;1.9;57.47;1.7;6.0
            03 Asturias, Principado de;2021;Artes, humanidades y lenguas;Hombres;23.16;2.7;75.22;2.8;4.3
            04 Balears, Illes;2021;Artes, humanidades y lenguas;Hombres;0.00;1.6;76.68;2.9;8.2
            05 Canarias;2021;Artes, humanidades y lenguas;Hombres;23.66;1.4;74.51;1.8;7.9
            06 Cantabria;2021;Artes, humanidades y lenguas;Hombres;0.00;0.2;71.92;1.3;4.2
            07 Castilla y León;2021;Artes, humanidades y lenguas;Hombres;13.48;1.5;60.47;1.7;3.7
            08 Castilla - La Mancha;2021;Artes, humanidades y lenguas;Hombres;1.36;0.8;77.07;1.0;4.8
            09 Cataluña;2021;Artes, humanidades y lenguas;Hombres;12.90;2.9;84.32;5.2;6.6
            10 Comunitat Valenciana;2021;Artes, humanidades y lenguas;Hombres;12.85;2.8;66.84;2.3;7.1
            11 Extremadura;2021;Artes, humanidades y lenguas;Hombres;13.02;1.9;45.61;1.4;3.0
            12 Galicia;2021;Artes, humanidades y lenguas;Hombres;13.66;1.2;76.17;2.7;5.6
            13 Madrid, Comunidad de;2021;Artes, humanidades y lenguas;Hombres;7.30;2.0;74.45;2.4;4.4
            14 Murcia, Región de;2021;Artes, humanidades y lenguas;Hombres;6.28;2.0;74.31;1.6;4.2
            15 Navarra, Comunidad Foral de;2021;Artes, humanidades y lenguas;Hombres;0.00;0.9;83.51;2.8;4.0
            16 País Vasco;2021;Artes, humanidades y lenguas;Hombres;6.36;2.0;61.48;3.0;6.4
            17 Rioja, La;2021;Artes, humanidades y lenguas;Hombres;10.30;3.0;69.22;2.3;3.1
            18 Ceuta;2021;Artes, humanidades y lenguas;Hombres;0.00;1.8;100.00;2.6;..
            19 Melilla;2021;Artes, humanidades y lenguas;Hombres;0.00;0.0;61.61;1.2;9.6
            01 Andalucía;2021;Ciencias sociales, periodismo y documentación;Hombres;15.66;1.8;85.26;2.5;2.8
            02 Aragón;2021;Ciencias sociales, periodismo y documentación;Hombres;29.30;2.2;84.91;1.7;3.6
            03 Asturias, Principado de;2021;Ciencias sociales, periodismo y documentación;Hombres;6.71;0.7;79.65;1.6;5.1
            04 Balears, Illes;2021;Ciencias sociales, periodismo y documentación;Hombres;26.48;1.2;84.56;2.1;3.7
            05 Canarias;2021;Ciencias sociales, periodismo y documentación;Hombres;0.00;2.0;71.53;3.5;2.4
            06 Cantabria;2021;Ciencias sociales, periodismo y documentación;Hombres;0.00;1.5;84.01;3.0;3.2
            07 Castilla y León;2021;Ciencias sociales, periodismo y documentación;Hombres;15.63;1.9;68.86;1.9;3.6
            08 Castilla - La Mancha;2021;Ciencias sociales, periodismo y documentación;Hombres;15.29;1.0;79.31;1.8;2.1
            09 Cataluña;2021;Ciencias sociales, periodismo y documentación;Hombres;6.97;1.6;86.83;4.5;6.3
            10 Comunitat Valenciana;2021;Ciencias sociales, periodismo y documentación;Hombres;4.70;2.7;85.63;3.4;5.1
            11 Extremadura;2021;Ciencias sociales, periodismo y documentación;Hombres;0.00;1.8;68.56;0.9;4.9
            12 Galicia;2021;Ciencias sociales, periodismo y documentación;Hombres;8.62;1.2;83.69;2.6;4.5
            13 Madrid, Comunidad de;2021;Ciencias sociales, periodismo y documentación;Hombres;4.22;1.9;82.46;2.7;6.6
            14 Murcia, Región de;2021;Ciencias sociales, periodismo y documentación;Hombres;13.49;1.3;83.66;2.0;4.2
            15 Navarra, Comunidad Foral de;2021;Ciencias sociales, periodismo y documentación;Hombres;30.36;0.9;77.10;3.1;4.9
            16 País Vasco;2021;Ciencias sociales, periodismo y documentación;Hombres;0.00;2.6;61.94;3.1;6.0
            17 Rioja, La;2021;Ciencias sociales, periodismo y documentación;Hombres;0.00;1.5;77.88;1.8;1.1
            18 Ceuta;2021;Ciencias sociales, periodismo y documentación;Hombres;..;0.0;..;2.6;3.0
            19 Melilla;2021;Ciencias sociales, periodismo y documentación;Hombres;0.00;6.1;100.00;4.9;4.4
            01 Andalucía;2021; Negocios, administración y derecho;Hombres;12.24;2.0;79.20;1.8;27.1
            02 Aragón;2021; Negocios, administración y derecho;Hombres;8.71;3.5;79.89;2.5;27.1
            03 Asturias, Principado de;2021; Negocios, administración y derecho;Hombres;6.54;2.0;72.95;2.9;19.0
            04 Balears, Illes;2021; Negocios, administración y derecho;Hombres;5.06;0.7;75.46;3.6;22.4
            05 Canarias;2021; Negocios, administración y derecho;Hombres;19.42;2.0;77.87;2.1;21.4
            06 Cantabria;2021; Negocios, administración y derecho;Hombres;17.16;1.0;70.56;1.9;29.5
            07 Castilla y León;2021; Negocios, administración y derecho;Hombres;6.93;1.2;83.98;2.1;24.5
            08 Castilla - La Mancha;2021; Negocios, administración y derecho;Hombres;12.19;1.0;86.77;2.0;21.8
            09 Cataluña;2021; Negocios, administración y derecho;Hombres;8.84;2.4;79.74;4.5;27.3
            10 Comunitat Valenciana;2021; Negocios, administración y derecho;Hombres;5.26;1.9;77.73;2.1;25.8
            11 Extremadura;2021; Negocios, administración y derecho;Hombres;8.47;0.6;92.33;1.2;25.3
            12 Galicia;2021; Negocios, administración y derecho;Hombres;8.16;1.2;78.15;2.2;26.2
            13 Madrid, Comunidad de;2021; Negocios, administración y derecho;Hombres;8.01;2.5;81.48;2.8;22.4
            14 Murcia, Región de;2021; Negocios, administración y derecho;Hombres;4.68;2.0;89.51;1.7;28.4
            15 Navarra, Comunidad Foral de;2021; Negocios, administración y derecho;Hombres;6.62;2.0;80.27;1.6;23.3
            16 País Vasco;2021; Negocios, administración y derecho;Hombres;7.08;1.1;81.50;2.9;30.1
            17 Rioja, La;2021; Negocios, administración y derecho;Hombres;14.82;1.4;77.87;1.4;25.9
            18 Ceuta;2021; Negocios, administración y derecho;Hombres;8.78;3.7;59.62;1.5;16.8
            19 Melilla;2021; Negocios, administración y derecho;Hombres;0.00;..;81.69;..;31.3
            01 Andalucía;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;9.94;1.7;73.22;1.9;2.7
            02 Aragón;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;2.95;1.0;85.04;2.3;1.7
            03 Asturias, Principado de;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;29.56;1.1;68.31;1.9;2.2
            04 Balears, Illes;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;11.16;3.2;85.27;3.7;2.2
            05 Canarias;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;2.37;1.6;94.47;2.2;3.8
            06 Cantabria;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;16.85;0.7;68.68;2.4;3.2
            07 Castilla y León;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;3.91;1.1;69.76;3.3;4.6
            08 Castilla - La Mancha;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;12.77;0.4;85.59;2.2;4.3
            09 Cataluña;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;11.51;1.8;85.31;3.6;4.2
            10 Comunitat Valenciana;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;17.24;1.9;65.18;2.5;3.1
            11 Extremadura;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;26.69;1.3;65.65;1.4;3.3
            12 Galicia;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;6.42;0.8;76.19;3.0;4.2
            13 Madrid, Comunidad de;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;1.5;79.40;3.7;6.1
            14 Murcia, Región de;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;3.21;0.9;71.94;1.8;2.9
            15 Navarra, Comunidad Foral de;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;2.7;93.30;1.9;5.7
            16 País Vasco;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;5.41;1.1;66.57;2.4;3.5
            17 Rioja, La;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;1.9;71.38;2.7;4.4
            18 Ceuta;2021;Ciencias naturales, químicas, físicas y matemáticas;Hombres;30.49;4.6;77.82;2.0;3.0
            19 Melilla;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;100.00;0.0;100.00;1.3;1.1
            01 Andalucía;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;17.17;1.7;90.16;3.1;2.2
            02 Aragón;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;5.12;2.2;91.88;1.9;1.2
            03 Asturias, Principado de;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;4.19;1.9;86.83;2.3;4.0
            04 Balears, Illes;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;14.00;2.3;94.23;2.6;2.0
            05 Canarias;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;16.83;1.1;86.61;2.1;2.2
            06 Cantabria;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;7.48;0.7;83.16;2.3;1.7
            07 Castilla y León;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;9.75;1.3;83.88;2.2;2.1
            08 Castilla - La Mancha;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;9.15;1.3;89.16;1.4;1.9
            09 Cataluña;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;7.98;1.6;90.42;3.2;2.3
            10 Comunitat Valenciana;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;9.01;1.2;86.59;3.5;1.4
            11 Extremadura;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;10.67;1.2;90.29;1.6;1.5
            12 Galicia;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;12.33;1.0;85.98;3.0;2.4
            13 Madrid, Comunidad de;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;9.02;2.8;86.95;2.7;3.3
            14 Murcia, Región de;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;17.45;1.9;91.82;1.6;0.5
            15 Navarra, Comunidad Foral de;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;12.02;1.7;94.33;3.2;1.7
            16 País Vasco;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;8.98;1.0;87.08;2.2;2.0
            17 Rioja, La;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;14.41;0.0;82.57;3.3;1.7
            18 Ceuta;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;19.06;0.0;100.00;2.8;2.1
            19 Melilla;2021;Tecnologías de la información y las comunicaciones (TIC);Hombres;17.46;0.0;100.00;4.5;2.0
            01 Andalucía;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;11.90;2.3;75.51;3.0;3.0
            02 Aragón;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.19;1.5;76.81;2.2;4.8
            03 Asturias, Principado de;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.16;1.5;65.53;2.5;5.2
            04 Balears, Illes;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.17;3.8;79.55;2.1;5.3
            05 Canarias;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;19.85;1.7;79.68;0.7;4.1
            06 Cantabria;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.15;1.5;71.73;3.5;4.1
            07 Castilla y León;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.14;1.5;81.08;1.9;4.1
            08 Castilla - La Mancha;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;5.38;0.9;82.48;1.9;3.5
            09 Cataluña;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.55;1.8;80.31;3.1;1.6
            10 Comunitat Valenciana;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.63;1.3;74.24;3.6;3.6
            11 Extremadura;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.34;1.0;84.24;1.2;3.3
            12 Galicia;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;5.89;1.0;74.83;3.2;3.7
            13 Madrid, Comunidad de;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.98;1.8;78.07;3.9;4.0
            14 Murcia, Región de;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.89;0.4;77.45;2.0;1.8
            15 Navarra, Comunidad Foral de;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.40;1.7;75.25;1.8;4.7
            16 País Vasco;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.18;1.3;68.81;2.3;6.2
            17 Rioja, La;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;3.19;1.6;79.97;2.7;3.5
            18 Ceuta;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;1.81;0.0;91.31;0.9;..
            19 Melilla;2021;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;26.11;0.0;77.32;3.4;0.0
            01 Andalucía;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;18.07;1.2;84.78;2.5;0.8
            02 Aragón;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;3.60;1.5;77.76;3.7;1.1
            03 Asturias, Principado de;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;13.32;1.6;85.76;2.3;1.1
            04 Balears, Illes;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;0.5;78.14;2.4;0.0
            05 Canarias;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;38.34;2.0;82.81;1.6;0.7
            06 Cantabria;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.4;88.05;1.4;0.9
            07 Castilla y León;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;7.60;1.4;69.79;2.4;1.7
            08 Castilla - La Mancha;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;7.73;1.6;68.25;2.0;1.3
            09 Cataluña;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;10.27;1.3;73.09;2.6;0.6
            10 Comunitat Valenciana;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;23.89;1.8;90.42;2.4;1.2
            11 Extremadura;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;12.16;0.8;84.03;1.6;1.9
            12 Galicia;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;13.31;1.7;77.03;2.5;1.3
            13 Madrid, Comunidad de;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;2.3;69.26;3.4;0.4
            14 Murcia, Región de;2021;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;10.07;0.8;90.08;2.6;1.7
